,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-2.125,-5.609999999999999,93.28500000000001,23.095,10.732500000000002,-21.212500000000002,14.18,141.4725,132.66750000000002,79.055
1,P/VPA,1.4175,2.3175,2.2475,1.9125,1.87,3.2325,1.5999999999999999,10.5875,9.12,5.8875
2,P/FCO,1.535,5.5975,6.6575,7.7875000000000005,9.875,10.475,9.667499999999999,53.2575,60.754999999999995,30.1875
3,DY,0.0,0.0357,0.04395,0.038025,0.035775,0.0205,0.128325,0.0242,0.027025,0.040924999999999996
4,PSRO ín,1.0975,3.54,3.41,3.855,4.3875,5.9775,4.0275,14.335,13.192499999999999,7.1175
5,EV/EBIT,3.78,9.665000000000001,13.0375,18.1625,15.717500000000001,22.252499999999998,9.1275,50.425,36.44,31.947499999999998
6,ROE,-0.16765,0.09045,-0.047875,0.12077500000000002,0.2592,-0.199275,0.11624999999999999,0.07982500000000001,0.09945,0.113475
7,ROIC,0.036025,0.091475,0.093225,0.04105,0.044025,0.08857499999999999,0.077125,0.08927500000000001,0.10309999999999998,0.0765
8,LC,0.9825,4.6625,3.0475,3.0,2.465,2.64,3.315,2.4375,2.5075000000000003,2.255
9,DB/PL,2.0175,3.8125,2.9975,2.5650000000000004,2.535,2.7575000000000003,1.29,1.1425,1.1425,0.9650000000000001
10,LPA,-0.12,0.12,-0.060000000000000005,0.19,0.3925,-0.2275,0.18000000000000002,0.0925,0.11250000000000002,0.12499999999999999
11,VPA,0.18,1.3325,1.365,1.56,1.4875,1.22,1.5275,1.155,1.12,1.09
12,DPA,0.035,0.20750000000000002,0.1225,0.085,0.11,0.0575,0.065,0.035,0.04,0.05
