,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,15.9,70.89,61.870000000000005,156.655,127.545,73.00999999999999,51.205,52.58,57.675000000000004,191.86
1,P/VPA,1.485,4.4375,3.825,3.9875,8.4475,8.305,10.232500000000002,17.835,19.16,14.29
2,P/FCO,4.01,16.0475,15.77,-28.84,-12.495,-136.2,-21.57,99.3125,56.5925,47.2
3,DY,0.0022,0.00485,0.00425,0.00355,0.004999999999999999,0.00595,0.0078000000000000005,0.0063,0.007,0.006725
4,PSRO ín,0.785,2.5375,2.1,1.9375,1.9175000000000002,1.87,1.9525,2.3575,2.1875,4.3225
5,EV/EBIT,6.34,20.4525,16.622500000000002,15.075000000000001,15.7725,16.5475,16.502499999999998,20.0875,19.4575,45.0625
6,ROE,0.023399999999999997,0.066525,0.06155,0.028325,0.069275,0.11955,0.198775,0.3378,0.32935000000000003,0.107075
7,ROIC,0.018025,0.06775,0.0782,0.1046,0.138125,0.13840000000000002,0.140325,0.13924999999999998,0.181125,0.068775
8,LC,0.4875,2.1050000000000004,2.2175000000000002,2.0175,1.6124999999999998,1.56,1.6875,1.7874999999999999,1.56,1.1324999999999998
9,DB/PL,0.6225,2.9924999999999997,2.5875,2.5325,3.7874999999999996,3.17,3.76,5.6075,4.654999999999999,3.3899999999999997
10,LPA,0.125,0.3175,0.27,0.11750000000000002,0.14250000000000002,0.25,0.3025,0.31,0.28,0.08499999999999999
11,VPA,1.3375,4.672499999999999,4.359999999999999,4.0875,2.075,2.09,1.6525,0.9199999999999999,0.845,0.575
12,DPA,0.0525,0.11249999999999999,0.08,0.057499999999999996,0.09500000000000001,0.0825,0.0825,0.07250000000000001,0.0675,0.015
