,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012
0,P/L,0.8075,7.4175,13.005,39.92,14.98,10.27,22.145000000000003,54.5425,-59.57500000000001
1,P/VPA,0.07,0.7975,0.845,2.5225,1.0550000000000002,0.5025000000000001,0.8775000000000001,2.0575,1.565
2,P/FCO,-0.18,-5.8225,8.735,6.859999999999999,1.3375,-6.507499999999999,-9.955,-17.337500000000002,-7.815
3,DY,0.013125,0.017225,0.024250000000000004,0.0555,0.060950000000000004,0.07089999999999999,0.04145,0.022949999999999998,0.004925
4,PSRO ín,0.2875,1.4000000000000001,2.1225,3.7225,1.3975,1.1225,1.72,2.505,2.4325
5,EV/EBIT,1.56,6.7475000000000005,9.325,17.96,6.9125,6.12,8.66,13.545,11.1425
6,ROE,0.021724999999999998,0.1082,0.04915,0.0799,0.071875,0.0518,0.046049999999999994,0.07365,0.036199999999999996
7,ROIC,0.019299999999999998,0.10114999999999999,0.045525,0.0824,0.115175,0.06997500000000001,0.090825,0.08485,0.09997500000000001
8,LC,0.34,1.05,0.8275,1.0475,1.3,0.9824999999999999,1.9275000000000002,2.65,1.94
9,DB/PL,0.31,1.4425000000000001,1.62,2.7550000000000003,2.7825,2.185,2.4425,2.2750000000000004,2.77
10,LPA,1.32,4.85,1.47,0.505,0.3425,0.3325,0.2175,0.3525,0.09250000000000001
11,VPA,15.2125,45.6975,21.895,6.54,4.825,3.7225,4.745,4.765000000000001,4.0675
12,DPA,0.6425,2.5574999999999997,0.7625,0.2575,0.2175,0.195,0.19999999999999998,0.14500000000000002,0.2825
