,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-14.28,9.045,11.607500000000002,109.76250000000002,37.655,13.6425,14.114999999999998,17.26,16.8375,10.5975
1,P/VPA,0.455,1.87,2.3725,2.0425,2.1925,2.0975,2.0675,2.4650000000000003,2.06,1.2774999999999999
2,P/FCO,52.27,9.995,15.069999999999999,9.0725,10.875,8.74,7.7524999999999995,9.1875,8.855,4.9125
3,DY,0.0277,0.032225000000000004,0.056674999999999996,0.022525,0.058949999999999995,0.08105000000000001,0.073825,0.05495,0.18485000000000001,0.230225
4,PSRO ín,-13.4725,1.02,1.3575,1.3199999999999998,1.3900000000000001,1.3175,1.3725,1.6649999999999998,1.3375000000000001,0.7975
5,EV/EBIT,-21.465,7.1525,9.1375,31.345000000000006,54.5,11.1625,10.7325,11.975,13.71,8.54
6,ROE,-0.007975,0.155775,0.2049,0.051899999999999995,0.12469999999999999,0.15344999999999998,0.146775,0.143775,0.124725,0.12887500000000002
7,ROIC,-0.001325,0.134125,0.18015,0.06112499999999999,0.10119999999999998,0.105925,0.11047499999999999,0.121125,0.091575,0.0886
8,LC,0.39,1.4825,2.065,2.2875,2.22,1.705,2.325,2.3725,1.4325,1.6800000000000002
9,DB/PL,0.1425,0.22000000000000003,0.205,0.3075,0.3549999999999999,0.4425,0.375,0.39,0.40249999999999997,0.5125
10,LPA,-0.0825,1.6149999999999998,2.1475,0.55,1.3150000000000002,1.635,1.5825,1.5625,1.3449999999999998,1.4174999999999998
11,VPA,2.595,7.7825,10.5,10.26,10.309999999999999,10.65,10.7925,10.862499999999999,10.795,10.96
12,DPA,0.0,0.5025000000000001,0.585,0.4375,1.145,1.34,1.0225,1.03,1.3900000000000001,0.9175
