,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.645,15.325000000000001,4.5424999999999995,0.21999999999999997,-1.525,-0.16000000000000003,9.195,11.13,-2.7575000000000003,-19.5625
1,P/VPA,0.345,-0.4675000000000001,-0.3,-0.05,0.365,0.195,0.19999999999999998,0.3175,0.2575,0.165
2,P/FCO,0.26,1.4925,0.8075,0.3425,0.295,0.37999999999999995,2.87,3.055,-109.9025,6.6525
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.3475,1.43,1.3375,1.6749999999999998,1.1425,1.1325000000000003,1.415,1.5950000000000002,1.3175,0.775
5,EV/EBIT,1.635,8.555,8.7025,-0.41000000000000003,7.177499999999998,18.205,14.8675,14.9,-7.862500000000001,5.074999999999999
6,ROE,-0.133275,-0.003024999999999998,0.43410000000000004,1.172325,-0.627725,-2.0523999999999996,-0.034375,-0.0005500000000000006,-0.13319999999999999,-0.029425000000000003
7,ROIC,0.023725,0.1542,-0.017150000000000006,-0.279675,0.0052250000000000005,0.0324,0.05065,0.052199999999999996,0.0008749999999999999,0.008924999999999999
8,LC,0.58,1.49,0.9850000000000001,1.1525,0.77,0.7975,1.255,1.1700000000000002,1.2325,1.275
9,DB/PL,1.635,-1.7950000000000002,-3.51,-0.9199999999999999,10.7875,10.6975,2.5375,2.25,1.8475000000000001,0.8575
10,LPA,-1.4825,0.35250000000000004,-8.385,-22.0775,-4.33,-17.0875,-0.8049999999999999,-0.015,-3.8649999999999998,-0.5774999999999999
11,VPA,2.78,-9.537499999999998,-19.8675,-12.675,8.1125,12.485,29.544999999999998,29.5625,29.03,23.450000000000003
12,DPA,0.0,0.125,7.905,-8.4275,4.9725,-4.305,-0.305,0.265,-0.23,0.0
