,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.065,-0.4525,-0.36,-1.0725,0.8525,-0.10500000000000001,-0.005,-0.0175,-0.0875,-0.8650000000000001
1,P/VPA,0.0625,0.145,0.125,0.665,0.3225,-0.28,0.0,-0.024999999999999998,-0.06500000000000004,0.4150000000000001
2,P/FCO,0.185,-0.8675,-0.5725,-3.0225,0.04749999999999999,-0.45749999999999996,1.87,-0.36,-0.5275,1.6825
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,3.05,1.8575,1.27,1.2850000000000001,0.645,0.4875,0.2425,0.085,0.6875,0.5925
5,EV/EBIT,-1.7,-5.172499999999999,-6.8325000000000005,-4.0325,-1.1949999999999998,-1.1475,-3.0875000000000004,-3.2375,-11.43,0.3374999999999986
6,ROE,-0.23782499999999998,-0.469,-0.49537499999999995,6.106699999999999,0.104375,1.0534999999999994,-2.06855,1.4016250000000001,1.0145500000000012,0.394625
7,ROIC,-0.030575,-0.120475,-0.05075,-0.042175,0.328025,-1.87595,-1.11995,-0.7881499999999999,-0.240425,0.0184
8,LC,0.7275,2.0725,1.8625,1.0225,0.5225,0.6325000000000001,0.5449999999999999,0.295,0.8425,1.1675000000000002
9,DB/PL,0.5475,1.6775000000000002,1.3725,3.7274999999999996,1.9475,-0.07750000000000001,0.4775,-2.0825,-4.2875,0.45500000000000007
10,LPA,-1.915,-5.26,-7.049999999999999,23.0425,-10.322499999999998,-50.620000000000005,-55.345,-52.6825,-44.5375,-16.2775
11,VPA,2.0125,10.6675,13.795,6.4925,-8.16,-3.1625000000000005,-31.515,-42.005,-8.1725,9.3325
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
