,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,34.215,154.54250000000002,50.6575,39.9725,-34.3725,-0.6174999999999999,1.3924999999999998,2.6625,-19.5375,6.3575
1,P/VPA,3.77,38.2775,12.572500000000002,10.01,1.95,0.21999999999999997,0.23,0.24,0.415,0.3225
2,P/FCO,-10.2525,174.765,39.6025,239.4625,4.529999999999999,0.1575,0.915,-0.6724999999999999,-3.0749999999999997,1.195
3,DY,0.002875,0.011474999999999999,0.007425,0.016025,0.0009,0.0505,0.02135,0.0004,0.001,0.0
4,PSRO ín,1.375,7.4225,1.9825,1.015,0.245,0.16749999999999998,0.1275,0.1375,0.1375,0.1225
5,EV/EBIT,2.4975,19.002499999999998,26.837500000000002,13.65,4.955,3.165,2.3675,3.075,5.2175,2.3200000000000003
6,ROE,0.02725,0.23065000000000002,0.2476,0.24387499999999998,-0.0182,0.05074999999999999,0.1689,0.11265,-0.028775000000000002,0.35529999999999995
7,ROIC,0.02645,0.2104,0.302925,0.29885,0.202375,0.181525,0.19525,0.13895,0.10635,0.183925
8,LC,0.4475,1.2650000000000001,1.2825000000000002,1.1150000000000002,1.065,1.3375,1.2,1.1975,1.1875,1.145
9,DB/PL,0.0275,0.2575,0.28,1.61,2.5749999999999997,2.645,2.0775,2.0675,1.855,4.88
10,LPA,0.1275,1.1775,2.88,2.745,-0.5125,1.8375,5.665,3.5450000000000004,-0.79,2.7649999999999997
11,VPA,1.1575,5.3275,11.6075,12.72,31.71,33.14,33.552499999999995,30.990000000000002,27.805,22.52
12,DPA,0.07,0.36250000000000004,0.53,0.27,0.1425,0.85,0.775,0.1875,0.08,0.02
