,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.64,-0.49749999999999994,-1.49,-1.1925,0.0024999999999999988,-0.060000000000000005,-0.0025,-0.055,-0.095
1,P/VPA,-0.08499999999999999,-0.04,-0.07250000000000001,-0.0625,0.0,0.0,0.0,-0.042499999999999996,-0.05249999999999999
2,P/FCO,69.995,4.1575,2.2725,0.61,0.0375,0.055,-0.08249999999999999,-0.0325,-0.1325
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,2.44,0.07,0.1125,0.08249999999999999,0.0325,0.05,0.037500000000000006,0.0425,0.052500000000000005
5,EV/EBIT,3.5150000000000006,4.869999999999999,1.96,0.7250000000000001,0.655,1.0025,0.48,-0.9225,-4.43
6,ROE,-0.022125,0.06520000000000001,0.05655,0.051875000000000004,-0.0005749999999999991,0.15965000000000001,0.8826999999999999,2.775,1.085425
7,ROIC,-0.02305,-0.005475000000000001,-0.06507500000000001,-0.109625,-0.08795,-0.0010000000000000078,0.8383,-0.242875,-0.5059
8,LC,0.09,0.08,0.29500000000000004,0.08750000000000001,0.10999999999999999,0.10750000000000001,0.21000000000000002,0.6950000000000001,0.5625
9,DB/PL,0.0,0.0,-0.01,-0.015000000000000001,-0.045,-0.07,-0.105,-1.7125,-0.6049999999999999
10,LPA,1.1025,-2.74,-2.23,-1.9124999999999999,-0.0050000000000000044,-5.8625,-25.169999999999998,-11.0325,-4.425000000000001
11,VPA,-37.475,-31.495,-39.067499999999995,-36.8375,-35.065000000000005,-35.7675,-29.880000000000003,-6.63,0.5425000000000001
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
