,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-12.12,19.8075,67.1825,10.690000000000001,10.1625,29.095,9.7525,14.3975,8.81,5.5075
1,P/VPA,0.53,1.4725,1.7125,1.4525,1.39,1.3325,1.395,1.5375,1.2275,0.97
2,P/FCO,-3.545,3.727499999999999,-25.849999999999998,46.8,-72.63499999999999,121.6575,31.505000000000003,25.905,13.32,5.71
3,DY,0.01605,0.042649999999999993,0.0991,0.065475,0.066375,0.07305,0.043475,0.1466,0.072625,0.057375
4,PSRO ín,-2157.485,583.885,1061.81,545.595,444.7,322.71,1166.9675,1204.8325,-354.77750000000003,108.05250000000001
5,EV/EBIT,-2.8275,77.7525,0.7874999999999979,9.5075,8.6,2.717500000000001,8.655,13.48,7.7075,4.46
6,ROE,-0.010925,0.058300000000000005,0.03609999999999999,0.14087499999999997,0.144325,0.054974999999999996,0.143825,0.1086,0.15077500000000002,0.188
7,ROIC,-0.026225000000000002,0.022000000000000002,-0.02245,0.12739999999999999,0.16745,-0.022475,0.134325,0.0895,0.11245000000000001,0.16682500000000003
8,LC,0.7375,2.7224999999999997,3.3200000000000003,3.205,3.83,23.1025,32.832499999999996,47.120000000000005,45.2525,8.375
9,DB/PL,0.105,0.10750000000000001,0.07250000000000001,0.042499999999999996,0.0225,0.015,0.0,0.0,0.0,0.0
10,LPA,-0.825,5.1025,3.525,15.434999999999999,15.009999999999998,5.4825,14.969999999999999,10.3325,14.5125,17.1325
11,VPA,18.835,65.85499999999999,95.96,109.45,103.46749999999999,99.5025,104.005,95.1975,96.38,90.4
12,DPA,0.485,0.5775,-0.8124999999999999,7.790000000000001,5.08,4.577500000000001,5.835,3.0375,5.757499999999999,3.93
