,Unnamed: 0,2020,2019,2018,2017
0,P/L,9.8875,16.625,12.35,49.769999999999996
1,P/VPA,0.32,1.6325,1.0625,1.0975000000000001
2,P/FCO,-0.8325,-2.7725,-1.5025,-6.82
3,DY,0.00455,0.015925,0.0234,0.0025
4,PSRO ín,0.335,1.7225,1.105,1.2149999999999999
5,EV/EBIT,5.1875,11.872499999999999,7.6975,13.09
6,ROE,0.008199999999999999,0.09839999999999999,0.08495,0.0276
7,ROIC,0.011850000000000001,0.075,0.09215,0.049125
8,LC,0.2175,0.915,0.9275,0.56
9,DB/PL,0.375,1.5725,1.37,1.0250000000000001
10,LPA,0.0825,0.9099999999999999,0.615,0.195
11,VPA,2.5525,9.2875,7.1475,4.4575
12,DPA,0.1025,0.47,0.2075,0.0175
