,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,21.5175,6.695,-3.4775,-4.692500000000001,-12.44,-3.8674999999999997,-4.69,-5.782500000000001,-28.5675,33.485
1,P/VPA,2.935,1.4575,1.2325,1.1625,2.4825,3.3649999999999998,1.1725,0.8999999999999999,1.4825000000000002,1.07
2,P/FCO,0.7175,2.7075,-7.579999999999999,-102.3875,1.79,1.55,2.3925,12.8725,12.287500000000001,-4.62
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.009824999999999999
4,PSRO ín,0.1325,0.455,0.7,0.7374999999999999,0.6925,0.6725,0.64,0.5325,0.6275000000000001,0.5775
5,EV/EBIT,1.705,10.557500000000001,20.735,10.74,7.9325,9.64,11.035,12.1525,11.7175,11.61
6,ROE,0.033525,0.40137500000000004,-0.13725,-0.25579999999999997,-0.3182,-1.03925,-0.265325,-0.22597499999999998,-0.11789999999999999,-0.063925
7,ROIC,0.037975,0.09590000000000001,0.0695,0.093475,0.123475,0.12967499999999998,0.0978,0.095,0.110925,0.10659999999999999
8,LC,0.2875,1.4875,1.3425,1.71,1.255,1.8125,2.0575,1.7799999999999998,1.33,1.48
9,DB/PL,12.02,6.3125,6.2700000000000005,4.325,8.915,14.815,3.9699999999999998,2.8800000000000003,3.335,2.1625
10,LPA,0.0375,3.095,-0.34750000000000003,-1.375,-0.79,-1.745,-1.3275000000000001,-1.5075,-0.8,-0.4575
11,VPA,0.275,6.8925,5.345,5.347500000000001,2.5749999999999997,1.7175,5.1175,7.1175,7.055,10.6575
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
