,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-1.7675,-63.82749999999999,8.119999999999997,-21.127499999999998,1.0025,-1.1225000000000005,-12.2975,8.762500000000003,12.1675,-15.219999999999999
1,P/VPA,0.0875,0.3375,0.33499999999999996,0.30500000000000005,0.1875,0.215,0.245,0.19,0.21000000000000002,0.3725
2,P/FCO,-4.895,-49.045,3.6525000000000003,-4.9375,8.4025,3.6249999999999996,0.23999999999999888,-7.1625,-0.7575000000000001,0.5475
3,DY,0.002225,0.0522,0.084475,0.12109999999999999,0.01295,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.7375,2.545,2.3625,1.98,0.5625,1.145,1.455,1.44,1.7224999999999997,1.41
5,EV/EBIT,-2.0775,-12.6525,-10.4025,-9.48,0.8975,8.2975,65.61,73.89999999999999,-12.375,24.979999999999997
6,ROE,-0.01225,-0.0146,0.0020500000000000015,-0.011575,0.198825,-0.009525000000000002,-0.004299999999999998,-0.012799999999999999,-0.0039,-0.050300000000000004
7,ROIC,-0.010324999999999999,-0.026025,-0.024399999999999998,-0.032225000000000004,9.43895,0.017874999999999995,0.016024999999999998,0.00605,0.009025,-0.027975000000000003
8,LC,0.685,2.935,4.09,3.6900000000000004,2.1,1.66,1.8125,1.1025,1.1400000000000001,1.1575
9,DB/PL,0.0175,0.0325,0.01,0.03,0.04,0.1,0.0975,0.08499999999999999,0.0325,0.035
10,LPA,-1.6625,-2.0300000000000002,0.30499999999999994,-1.6024999999999998,40.735,-0.7549999999999999,-0.42749999999999977,-1.6275,-0.49500000000000005,-4.2299999999999995
11,VPA,33.9375,140.65,144.68,145.24,117.86999999999999,117.57000000000002,121.3125,127.7575,128.5825,94.50999999999999
12,DPA,0.0,0.4,2.2600000000000002,5.909999999999999,1.73,0.0,0.0,0.0,0.0,0.0
