,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,22.45,-3.83,-2.5075,19.8925,-0.9724999999999999,-3.1025,-3.615,-5.29,-2.16,-5.16
1,P/VPA,-0.0525,-0.125,-0.0775,-0.22749999999999998,-0.245,-0.35250000000000004,-0.495,-0.6225,-0.3625,-0.26749999999999996
2,P/FCO,55.885,365.005,2873.175,200.105,-100.8675,-351.73,-2700.6225,-428.435,-76.3575,168.5725
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,49.82,20.66,26.76,150.7625,0.0,0.0,0.0,0.0,0.0,0.0
5,EV/EBIT,96.5825,-41.4875,-29.05,28.189999999999998,-40.839999999999996,-46.09,-9.067499999999999,-10.257499999999999,-9.225,-975.805
6,ROE,-0.000575,0.025599999999999998,0.030674999999999994,-0.008575,0.18895,0.14602500000000002,0.145825,0.118725,0.22562500000000002,0.15975
7,ROIC,-0.00042500000000000003,0.00895,0.016875,-0.0194,0.0143,0.0723,0.14765,0.17085,0.27405,0.204825
8,LC,0.005,0.0075,0.01,0.0075,0.0075,0.015000000000000001,0.024999999999999998,0.0325,0.04,0.015
9,DB/PL,-0.0675,-0.2025,-0.275,-0.215,-0.18,-0.3,-0.35000000000000003,-0.4125,-0.46749999999999997,-0.2475
10,LPA,0.0125,-0.5375,-0.6325000000000001,0.16999999999999998,-3.4699999999999998,-2.26,-1.8425000000000002,-1.275,-2.0925,-1.6825
11,VPA,-5.26,-15.8325,-20.54,-14.8525,-13.774999999999999,-14.7975,-12.537500000000001,-10.692499999999999,-9.4225,-4.467499999999999
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
