,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014
0,P/L,1.2525,-5.3025,-0.61,-0.1575,-0.17,-0.005,0.005000000000000001
1,P/VPA,0.2025,-0.185,-0.2175,-0.1875,0.8074999999999999,0.0075,0.01
2,P/FCO,0.6375,3.15,-3.6950000000000003,1.115,0.5075,0.005,0.0525
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.8075,53.9825,0.21749999999999997,0.165,0.19749999999999998,0.1125,0.18000000000000002
5,EV/EBIT,28.6675,62.8325,6.295000000000001,-5.595,-5.1575,66.9975,5.8774999999999995
6,ROE,0.04025,-0.010725000000000002,0.279,0.8667,-4.569375,-2.5787750000000003,-0.0856
7,ROIC,0.0008,-0.022324999999999998,-0.24095000000000003,-3.815325000000001,-4.7499,0.03715,0.079025
8,LC,0.42,1.13,0.485,0.4375,0.625,0.71,0.8975
9,DB/PL,0.16,-0.385,-0.4325,-0.645,5.075,2.2775,0.9700000000000001
10,LPA,4.29,1.8725,-48.03,-99.9125,-106.82999999999998,-133.54000000000002,-17.89
11,VPA,26.6325,-139.2375,-129.58749999999998,-87.85249999999999,-9.915,96.41250000000001,221.79000000000002
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0
