,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.06,15.724999999999998,5.8149999999999995,13.175,14.805,21.8275,10.8025,11.555,17.3875,13.55
1,P/VPA,0.21,0.9450000000000001,0.67,0.595,0.5775,0.8074999999999999,1.085,1.415,1.415,1.955
2,P/FCO,1.935,6.4625,10.22,7.9325,2.565,4.77,4.969999999999999,5.907499999999999,12.215,19.060000000000002
3,DY,0.010049999999999998,0.0113,0.013675,0.013425,0.012050000000000002,0.01395,0.016450000000000003,0.0194,0.026025,0.027375
4,PSRO ín,0.16,0.5975,0.4975,0.53,0.5175000000000001,0.5750000000000001,0.485,0.7425,0.6725,0.6125
5,EV/EBIT,0.995,8.754999999999999,5.48,7.9175,8.815000000000001,13.2625,9.2025,10.06,19.029999999999998,14.24
6,ROE,0.049375,0.077475,0.12945,0.045274999999999996,0.039924999999999995,0.036975,0.14782499999999998,0.163525,0.081675,0.159075
7,ROIC,0.017925,0.05635,0.073075,0.0426,0.0319,0.029124999999999998,0.087175,0.093975,0.0289,0.066025
8,LC,0.66,2.8475,2.77,2.705,2.3275,2.6175,2.335,2.15,2.2649999999999997,2.3575000000000004
9,DB/PL,0.17,0.735,0.7475,0.8475,0.7725,0.7375,0.6775000000000001,0.6425,0.4375,0.41000000000000003
10,LPA,1.475,1.8925,2.9875,0.895,0.7525,0.67,2.5025,2.25,0.795,1.3900000000000001
11,VPA,7.4675,24.5125,22.72,19.795,18.872500000000002,18.1075,17.177500000000002,12.69,9.704999999999998,8.780000000000001
12,DPA,0.0,-1.415,1.81,0.005,0.1,0.0,0.0,0.0,0.0,0.0
