,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-8.02,9.905000000000001,14.325,8.3575,9.5825,16.92,93.77499999999999,14.262500000000001,-18.22,-34.3225
1,P/VPA,0.3175,0.8425,0.9475,0.8900000000000001,0.78,0.7775,0.755,0.735,0.69,0.7175
2,P/FCO,-7.525,9.0,11.595,10.270000000000001,15.5,15.97,63.785,15.372500000000002,2.0624999999999996,-13.4
3,DY,0.015925,0.022400000000000003,0.076625,0.07095,0.0539,0.088525,0.0731,0.044724999999999994,0.0441,0.048100000000000004
4,PSRO ín,-61.99,1.1375,1.3525,1.3525,1.2225,1.295,1.5025,1.76,1.9224999999999999,1.6275
5,EV/EBIT,-9.3125,7.485000000000001,8.48,7.1525,6.5025,14.7475,-4.2700000000000005,14.085,51.697500000000005,-14.442499999999999
6,ROE,-0.009899999999999999,0.06399999999999999,0.0662,0.117825,0.08837500000000001,0.046650000000000004,0.0025750000000000018,0.0149,-0.009825,0.026374999999999996
7,ROIC,-0.004025,0.030224999999999995,0.03515,0.07592499999999999,0.043800000000000006,0.004350000000000001,-0.029974999999999998,-0.008599999999999998,-0.02205,-0.010225
8,LC,0.925,2.5774999999999997,3.705,3.9425,4.66,4.6025,4.02,4.045,3.8324999999999996,3.7575
9,DB/PL,0.0,0.0,0.0,0.0,0.0025,0.0,0.04,0.04,0.0325,0.04
10,LPA,-0.3975,2.6375,2.715,4.722499999999999,3.3200000000000003,1.655,0.08000000000000002,0.6125,-0.4175,1.2125
11,VPA,10.03,30.965000000000003,40.9925,40.1625,37.075,35.5025,38.42,40.802499999999995,42.7125,44.7075
12,DPA,0.0,0.7424999999999999,0.8625,2.4625,1.7425,1.2750000000000001,0.04999999999999999,0.2675,0.06249999999999999,0.69
