,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.5375,-24.5425,-10.815000000000001,-5.7725,-19.224999999999998,-13.8325,-41.4225,39.685,20.112499999999997,22.36
1,P/VPA,0.0975,0.305,0.2675,0.6675,0.7075,0.625,1.47,2.0775,1.3874999999999997,1.08
2,P/FCO,1.1275,1.2975000000000003,-6.5200000000000005,15.17,-11.7875,3.2325,15.032499999999999,-0.1875000000000009,39.155,30.987499999999997
3,DY,0.0,0.0,0.0,0.0,0.0,0.00575,0.011099999999999999,0.010475,0.0116,0.013075
4,PSRO ín,0.035,0.13,0.1175,0.19499999999999998,0.1825,0.2325,0.3575,0.38,0.2175,0.25250000000000006
5,EV/EBIT,3.525,10.7175,55.4475,-19.687499999999996,10.375,35.519999999999996,29.857499999999998,19.8625,11.2975,11.8725
6,ROE,0.0053,-0.004700000000000001,-0.04965,-0.1297,-0.0416,-0.04675,-0.035525,0.055799999999999995,0.068525,0.05727499999999999
7,ROIC,0.008199999999999999,0.0461,0.02955,0.029899999999999996,0.065575,0.0289,0.043275,0.07077499999999999,0.09802499999999999,0.0865
8,LC,0.3125,1.2925,1.3675,1.3025,1.5225,1.535,1.8275,1.86,2.1550000000000002,2.01
9,DB/PL,0.225,0.6699999999999999,0.5975,0.9425,0.7124999999999999,0.735,0.6875000000000001,0.8049999999999999,0.385,0.20500000000000002
10,LPA,0.0825,-0.07250000000000001,-0.785,-1.5625,-0.49000000000000005,-0.4925,-0.38,0.5,0.605,0.6075
11,VPA,3.8775,15.2525,15.7925,12.165,11.8475,10.432500000000001,10.292499999999999,8.9175,8.8175,6.202500000000001
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07750000000000001,0.07
