,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-1.9675,0.9650000000000034,-1.52,-3.985,0.2974999999999998,4.9325,-0.22750000000000048,65.5625,-9.4475,30.3175
1,P/VPA,17.125,10.7875,0.6699999999999999,1.4425,1.3275,1.7825,0.6475000000000001,1.1025,0.6775,0.5549999999999999
2,P/FCO,4.0225,31.020000000000003,22.884999999999998,0.22249999999999992,-1.645,-0.030000000000000027,-1.225,5.3375,6.115,-20.044999999999998
3,DY,0.0,0.0,0.0,0.014025000000000001,0.03595,0.0,0.0,0.0,0.0173,0.045525
4,PSRO ín,0.23,1.7175,0.56,0.395,0.195,0.3425,0.29,0.415,0.27,0.38
5,EV/EBIT,22.0625,-241.3,-16.6,-11.69,0.19500000000000028,10.2075,22.134999999999998,-0.08000000000000007,-10.697499999999998,75.89750000000001
6,ROE,-2.1861,-0.047450000000000006,-0.544875,-0.8559500000000001,-0.6426499999999999,0.445475,0.0005999999999999964,-0.028725,-0.1068,0.0006749999999999994
7,ROIC,-0.012549999999999999,0.03465,0.0156,-0.0553,-0.06259999999999999,0.061200000000000004,0.028375,0.018924999999999997,-0.03975,0.010775
8,LC,0.12,1.3525,1.7199999999999998,1.355,0.8075,0.9375000000000001,1.1325,1.1349999999999998,1.1575,1.0899999999999999
9,DB/PL,11.025,3.2475,3.455,6.387499999999999,4.62,5.0325,0.8875,0.64,0.4975,0.3175
10,LPA,-0.435,-0.02,-1.0125,-0.6425000000000001,-0.605,0.5925,-0.024999999999999994,-0.13749999999999998,-0.495,0.04249999999999999
11,VPA,0.05,2.13,2.0175,1.7774999999999999,1.3325,1.9175,4.3,4.555,4.8025,4.0025
12,DPA,0.0,0.0,0.0,0.0,0.08,0.02,0.0,0.0,0.0,0.04
