,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,25.0,21.0325,24.4425,36.96,41.7,23.245,17.665,22.465000000000003,19.5325,10.0825
1,P/VPA,0.0525,3.3875,3.4899999999999998,5.2975,5.8125,3.125,3.085,4.3825,3.8150000000000004,2.3175
2,P/FCO,1.295,14.6775,32.214999999999996,31.4125,23.36,21.7575,26.945,33.995,32.9225,23.025
3,DY,0.054825,0.007,0.01165,0.007575,0.0075250000000000004,0.013125000000000001,0.0143,0.011125,0.013150000000000002,0.021324999999999997
4,PSRO ín,2.4975,0.7575,0.7050000000000001,1.0100000000000002,1.0625,0.5825,0.545,0.7225,0.6,0.2825
5,EV/EBIT,37.135,15.842500000000001,17.86,23.162499999999998,24.314999999999998,14.345,13.889999999999999,15.9175,13.614999999999998,5.967499999999999
6,ROE,0.000525,0.1207,0.143225,0.14315,0.13945,0.13535,0.17675,0.1959,0.1943,0.2399
7,ROIC,0.00045,0.0878,0.13949999999999999,0.15065,0.1523,0.14177499999999998,0.156675,0.17905,0.1837,0.2777
8,LC,0.395,1.23,1.7225,1.6624999999999999,1.6949999999999998,1.8050000000000002,1.685,1.7974999999999999,1.84,1.83
9,DB/PL,0.29,0.6625,0.3275,0.27249999999999996,0.28250000000000003,0.37000000000000005,0.355,0.22,0.125,0.11249999999999999
10,LPA,0.0625,12.865,14.1325,12.889999999999999,11.255,9.8125,11.5925,11.2375,9.5,10.057500000000001
11,VPA,29.2975,79.92750000000001,98.4875,90.06,80.7025,72.6125,65.7475,57.3,48.845,41.905
12,DPA,0.0625,4.109999999999999,3.9399999999999995,4.4675,3.29,2.405,3.3775,2.8024999999999998,2.425,2.2575000000000003
