,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.8225,25.375,-60.325,-72.02749999999999,4.504999999999999,-5.2975,16.064999999999998,-3.0000000000000004,1.2374999999999998,-9.3525
1,P/VPA,0.135,0.8325,0.38,0.535,0.345,0.25,0.30000000000000004,0.51,0.7899999999999999,0.9575
2,P/FCO,-0.4625,12.502500000000001,-5.6925,6.2675,2.0425,0.0475000000000001,-2.8500000000000005,-1.5150000000000001,-2.6900000000000004,-1.8775
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.0775,0.2775,0.14750000000000002,0.21750000000000003,0.1825,0.16999999999999998,0.1775,0.18000000000000002,0.28,0.2425
5,EV/EBIT,2.475,6.695,-122.44000000000001,6.515,2.635,-24.597500000000004,6.1000000000000005,9.2325,-2.7449999999999988,136.68
6,ROE,0.006999999999999999,0.015550000000000001,-0.06517500000000001,-0.018725000000000002,-0.08372500000000001,-0.034275,0.035975,0.023175,0.05255,-0.028300000000000002
7,ROIC,0.0104,0.07602500000000001,0.0173,0.07455,0.035775,0.0049999999999999975,0.077825,0.06327500000000001,0.0579,0.019500000000000003
8,LC,0.3725,1.2750000000000001,1.275,1.3050000000000002,1.3475000000000001,1.475,1.7975,1.4775,1.6325,1.7049999999999998
9,DB/PL,0.2175,1.2325,1.1225,1.085,1.19,1.195,0.7725,0.67,0.47500000000000003,0.5575
10,LPA,0.07,0.095,-0.3775,-0.10750000000000001,-0.535,-0.2225,0.27,0.16999999999999998,0.38,-0.175
11,VPA,2.52,5.955,5.7875,6.175,6.3875,7.185,7.37,7.290000000000001,7.239999999999999,6.88
12,DPA,0.0125,0.0125,0.0,0.03,0.0075,0.07,0.0475,0.0775,0.0225,0.25
