,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.2725,12.2025,23.635,16.07,67.93,5.5175,7.86,12.22,8.995,7.7025
1,P/VPA,0.4475,1.8,2.0375,2.83,1.5099999999999998,1.895,3.5700000000000003,4.7375,3.9425,3.5374999999999996
2,P/FCO,0.69,-9.67,46.6525,7.395,3.26,2.3575,-49.637499999999996,127.9725,9.3275,-11.705000000000002
3,DY,0.016625,0.02095,0.039175,0.011725000000000001,0.054474999999999996,0.100475,0.03405,0.020325,0.002525,0.0
4,PSRO ín,0.2625,0.9949999999999999,1.3299999999999998,1.1275,0.7375,0.7525000000000001,0.9975,1.4924999999999997,0.7575000000000001,0.4225
5,EV/EBIT,2.7675,6.99,11.1125,9.64,9.989999999999998,5.635,6.734999999999999,9.0675,5.4575000000000005,4.56
6,ROE,0.034575,0.26845,0.16715,0.1805,0.07625000000000001,0.34755,0.4558,0.394975,0.435525,0.5093749999999999
7,ROIC,0.021150000000000002,0.147975,0.122425,0.14432499999999998,0.097,0.163675,0.2158,0.189,0.31877500000000003,0.37845
8,LC,0.315,1.3949999999999998,1.4474999999999998,1.24,1.3175,1.0925,1.2475,1.29,0.97,0.8875
9,DB/PL,0.57,2.0625,1.7774999999999999,1.9425,2.665,2.57,1.7149999999999999,1.7125000000000001,1.135,1.9825
10,LPA,0.08,0.6075,0.3625,0.31999999999999995,0.1125,0.5075,0.63,0.4125,0.31,0.225
11,VPA,0.585,2.2775,2.155,1.755,1.505,1.4525,1.3900000000000001,1.0375,0.7050000000000001,0.45
12,DPA,0.0,0.095,0.1975,0.05,0.06,0.23,0.21250000000000002,0.0475,0.0,0.0
