,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,7.645,35.012499999999996,28.207499999999996,27.845,17.9025,15.3475,18.56,21.425,29.0025,15.5425
1,P/VPA,1.1975,5.0975,5.8374999999999995,5.3100000000000005,3.4675000000000002,3.375,4.79,4.9425,5.835,5.3374999999999995
2,P/FCO,-2.1525,-19.6125,-83.295,-30.85,24.2275,-342.2225,23.1425,26.45,45.77,-5.032499999999999
3,DY,0.002775,0.005075,0.01345,0.041175,0.032525,0.021425,0.037875,0.019,0.012325,0.01335
4,PSRO ín,0.8625,3.64,3.2475000000000005,3.2375,2.4074999999999998,2.17,2.5575,2.7075,2.9125,2.055
5,EV/EBIT,5.3725,22.705,18.744999999999997,17.869999999999997,12.057500000000001,10.5025,12.335,14.467500000000001,17.0225,9.75
6,ROE,0.039325,0.146075,0.2069,0.18995,0.1942,0.218425,0.25865000000000005,0.2383,0.2046,0.35425
7,ROIC,0.0195,0.08887500000000001,0.09625,0.103175,0.118225,0.12525,0.134475,0.12667499999999998,0.128575,0.19635
8,LC,0.3625,1.26,1.4200000000000002,1.3625,1.3175,1.62,1.6475,1.61,1.7325000000000002,1.4175000000000002
9,DB/PL,0.51,1.5075,2.41,1.985,1.5474999999999999,1.5375,1.6099999999999999,1.4849999999999999,1.585,1.83
10,LPA,0.335,1.2025000000000001,0.9450000000000001,1.43,1.9274999999999998,1.8925,1.8975,1.6175000000000002,1.195,1.74
11,VPA,2.1375,8.225,4.57,7.567499999999999,9.945,8.685,7.3625,6.805,5.865,4.9225
12,DPA,0.1125,0.39499999999999996,0.27,0.5025,0.6525000000000001,0.5800000000000001,0.4775,0.35,0.37,0.4125
