,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014
0,P/L,14.1075,46.1475,-35.285,-22.165,-8.8225,8.5125,2.5525
1,P/VPA,0.2175,0.87,0.5325,0.54,0.21500000000000002,0.29250000000000004,0.1975
2,P/FCO,0.5975,2.2624999999999997,1.77,1.7475,0.7675000000000001,4.2475000000000005,3.5825
3,DY,0.0,0.0,0.0,0.0,0.02775,0.034425,0.0
4,PSRO ín,0.745,2.4574999999999996,2.125,2.245,1.5550000000000002,3.2375,0.8400000000000001
5,EV/EBIT,2.51,8.64,8.780000000000001,12.424999999999999,8.24,12.9725,2.8075
6,ROE,0.0038,0.020125,0.0019500000000000003,-0.032275,-0.02475,0.0137,0.12175
7,ROIC,0.020274999999999998,0.0886,0.0809,0.064425,0.08602499999999999,0.05084999999999999,0.1079
8,LC,0.3675,1.52,1.4975,1.0675,0.6675,0.5850000000000001,0.895
9,DB/PL,0.445,1.3375000000000001,1.3025,1.7625,1.6,1.9849999999999999,0.52
10,LPA,0.0875,0.45499999999999996,0.042499999999999996,-0.4975,-0.36750000000000005,0.08,0.455
11,VPA,5.695,22.415000000000003,22.095,16.6075,14.87,9.33,3.75
12,DPA,0.25,0.385,0.0,0.0,0.0,0.07,0.0175
