,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-3.2874999999999996,6.0649999999999995,7.5649999999999995,43.894999999999996,9.0475,12.685000000000002,20.4675,64.92,-18.9625,32.9875
1,P/VPA,0.47,1.08,0.73,0.6325000000000001,0.22999999999999998,0.20750000000000002,0.40499999999999997,0.545,0.5425,0.7175
2,P/FCO,18.405,-72.1275,-565.6800000000001,3.5625,1.215,0.8275,1.1324999999999998,1.115,2.8325,7.130000000000001
3,DY,0.031525,0.036825,0.0826,0.00265,0.0104,0.012,0.00115,0.0,0.0129,0.05945
4,PSRO ín,3.345,1.2874999999999999,0.8975,0.8300000000000001,0.575,0.645,0.7775000000000001,1.0775000000000001,1.445,1.3125
5,EV/EBIT,-1.0875000000000004,9.985,16.3775,8.91,2.8825000000000025,-84.29499999999999,28.69,22.190000000000005,-28.06,-16.1025
6,ROE,0.016625,0.182425,0.09930000000000001,-0.0002999999999999999,-0.01335,-0.004799999999999999,0.021,-0.0343,-0.05105,0.088875
7,ROIC,0.01135,0.06027500000000001,0.038474999999999995,-0.0004750000000000032,-0.006925000000000001,-0.01335,0.017725,-0.0026750000000000003,-0.023375,0.030949999999999995
8,LC,0.8725,1.8775,1.915,2.11,2.5124999999999997,2.32,1.8775,1.7574999999999998,1.75,2.04
9,DB/PL,0.275,0.45499999999999996,0.3925,0.44999999999999996,0.5625,0.6325,0.7775,1.0475,1.3925,1.43
10,LPA,0.20750000000000002,2.1875,1.0775,0.0050000000000000044,-0.1275,-0.04750000000000001,0.2175,-0.34500000000000003,-0.52,0.9874999999999999
11,VPA,6.390000000000001,11.9975,10.762500000000001,9.945,9.995000000000001,10.3825,10.295,10.075,10.3225,11.045
12,DPA,0.31999999999999995,1.0725,0.44500000000000006,0.035,0.03,0.0375,0.015,0.0125,0.1325,0.5874999999999999
