,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.16,8.2925,6.365,7.96,5.725,4.78,6.385,9.305,11.2125,17.302500000000002
1,P/VPA,0.375,1.3625,0.9099999999999999,1.0550000000000002,0.7550000000000001,0.48749999999999993,0.7125,1.145,1.5775000000000001,0.905
2,P/FCO,1.5075,5.79,3.7175000000000002,4.1175,3.2725,2.4975,3.34,4.2375,5.5075,8.182500000000001
3,DY,0.044349999999999994,0.0423,0.06975,0.059050000000000005,0.09025,0.10885,0.085075,0.0547,0.038725,0.042624999999999996
4,PSRO ín,0.6525,2.415,1.7800000000000002,2.0024999999999995,1.6774999999999998,1.415,1.6199999999999999,1.9049999999999998,2.3825,3.6224999999999996
5,EV/EBIT,0.84,7.38,5.6875,7.2375,6.235,6.035,6.4425,7.237499999999999,8.035,12.5975
6,ROE,0.0435,0.163675,0.14252499999999999,0.1324,0.1305,0.103025,0.1117,0.12182499999999999,0.140675,0.075125
7,ROIC,0.03305,0.1293,0.12415000000000001,0.10894999999999999,0.1058,0.0886,0.096475,0.115425,0.12464999999999998,0.089175
8,LC,0.325,0.8375,0.8975,1.0975,1.04,0.9075,0.8150000000000001,1.0525,1.0575,0.865
9,DB/PL,0.135,0.5175000000000001,0.5075000000000001,0.5325,0.5700000000000001,0.5675,0.44,0.40499999999999997,0.39749999999999996,0.4225
10,LPA,0.185,2.0575,1.6250000000000002,1.3900000000000001,1.2175,0.8575,0.8624999999999999,0.755,0.7275,0.3625
11,VPA,1.0625,12.5425,11.399999999999999,10.495000000000001,9.337499999999999,8.3325,7.760000000000001,6.295,5.16,4.7925
12,DPA,0.055,0.855,0.7325,0.655,0.53,0.44,0.43,0.3425,0.275,0.1225
