,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,5.855,90.85499999999999,41.8625,43.625,37.06,9.0125,10.16,13.669999999999998,12.035,11.595
1,P/VPA,0.3575,1.5325000000000002,1.265,1.6324999999999998,1.1475,1.2775,1.7275,2.395,2.5275,1.855
2,P/FCO,22.925,-27.579999999999984,33.2325,181.85999999999999,23.885,8.51,10.1325,12.195,11.775,6.4475
3,DY,0.0024749999999999998,0.0019500000000000001,0.021374999999999998,0.012875000000000001,0.013349999999999999,0.034874999999999996,0.030350000000000002,0.024749999999999998,0.011975,0.006
4,PSRO ín,2.26,11.2075,5.557499999999999,8.5025,7.7275,7.075,6.32,7.2825,5.835000000000001,5.975
5,EV/EBIT,3.7375,18.549999999999997,11.89,13.335,11.085,9.2675,8.272499999999999,10.375,9.5875,8.635
6,ROE,0.0152,0.038849999999999996,0.06805,0.057575,0.05205,0.1433,0.18455,0.189425,0.22242499999999998,0.164475
7,ROIC,0.016525,0.05925,0.08085,0.078225,0.078625,0.097875,0.12475,0.127525,0.138075,0.125475
8,LC,0.61,2.98,2.6625,1.8075,1.8924999999999998,2.4000000000000004,2.965,2.5249999999999995,2.3725,2.0549999999999997
9,DB/PL,0.245,0.8674999999999999,0.9175,1.1575,1.3025,1.3975,0.9824999999999999,1.1425,1.225,1.2025
10,LPA,0.395,0.9975,1.67,1.3625,1.175,3.1,3.625,3.2675,3.38,2.0
11,VPA,6.485,25.354999999999997,24.485,23.527499999999996,22.4775,21.6075,19.68,17.185,14.9625,12.172500000000001
12,DPA,0.0,0.0,0.0,-0.08249999999999999,-0.3875,0.4625,0.02,-1.57,1.15,0.42
