,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.26,3.845,16.51,59.295,-17.2275,2.8475,-1.2550000000000001,-1.3075,-0.5700000000000001,-3.355
1,P/VPA,0.0775,0.29,0.21000000000000002,0.5075000000000001,0.18,0.0625,0.0425,0.1075,0.12,0.1
2,P/FCO,0.495,-3.7524999999999995,12.4925,11.352500000000001,217.3625,0.39,1.3475,-3.2875000000000005,-1.31,-2.1350000000000002
3,DY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00415
4,PSRO ín,-5.5075,-2.6175,0.34249999999999997,0.51,0.31000000000000005,0.2025,0.175,0.24000000000000002,0.29000000000000004,0.26
5,EV/EBIT,-4.895,-25.1425,5.4875,8.885,6.3375,6.1325,7.8100000000000005,15.847499999999998,6.59,-22.4725
6,ROE,-0.0735,0.06420000000000001,0.014275,0.016725,-0.015875,0.013725,-0.03385,-0.08685000000000001,-0.24789999999999998,-0.154675
7,ROIC,-0.014525,-0.023625,0.07205,0.10347500000000001,0.083425,0.07025,0.051925,0.02985,0.058225,-0.0233
8,LC,0.325,1.1124999999999998,1.3325,1.7249999999999999,1.6749999999999998,1.6525,1.6275,1.7075,1.745,1.5299999999999998
9,DB/PL,0.21,0.5625,0.745,1.0325,1.05,0.83,0.7150000000000001,0.6174999999999999,0.615,0.4875
10,LPA,-1.81,1.875,0.32999999999999996,0.3525,-0.3225,0.3,-0.745,-2.025,-6.0600000000000005,-4.1925
11,VPA,6.16,21.7725,17.325000000000003,20.947499999999998,20.5,21.865,21.994999999999997,23.292499999999997,24.705,20.662499999999998
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
