,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.9025,-6.7,24.0275,17.9775,13.3925,-1.0250000000000004,-9.4025,-21.4525,-11.559999999999999,11.1775
1,P/VPA,0.165,1.1225,1.54,1.7850000000000001,1.455,0.7625000000000001,0.95,1.435,2.5725000000000002,1.9775
2,P/FCO,-1.66,3.4625,2.425,-2.32,-25.935,8.02,-5.005,63.535000000000004,-89.53750000000001,7.005
3,DY,0.0070750000000000006,0.013925,0.033625,0.010775,0.0036750000000000003,0.0,0.0,0.005875,0.013325,0.0
4,PSRO ín,0.2325,0.87,0.8600000000000001,0.955,0.5425,0.505,0.44000000000000006,0.8599999999999999,1.53,0.94
5,EV/EBIT,-0.785,-39.7275,7.4025,7.7375,5.779999999999999,-4.9750000000000005,-7.58,-22.700000000000003,-17.9425,4.369999999999999
6,ROE,-0.045899999999999996,-0.202125,0.0967,0.10164999999999999,0.109375,-0.1065,-0.13677499999999998,-0.07492499999999999,0.12285000000000001,0.2296
7,ROIC,-0.020425,-0.04845000000000001,0.0929,0.09079999999999999,0.109575,-0.05125,-0.084875,-0.034475,0.100675,0.18327500000000002
8,LC,0.3725,2.0525,1.69,1.3874999999999997,1.4,1.2425,1.125,1.41,1.805,1.6574999999999998
9,DB/PL,0.15,0.545,0.12,0.095,0.17,0.275,0.15,0.23250000000000004,0.32,0.6925
10,LPA,-0.185,-0.8525,0.47,0.47,0.45999999999999996,-0.40249999999999997,-0.5675,-0.37999999999999995,0.6675,0.7825
11,VPA,1.0125,4.285,4.8975,4.5775,4.217499999999999,3.8775000000000004,4.2975,5.035,5.3825,3.9075
12,DPA,0.0,0.0,0.0,0.09,0.0225,0.0,0.0,-0.105,0.265,0.1725
