,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.8675,6.3,7.199999999999999,17.375,7.355,4.5225,8.747499999999999,10.7725,11.575000000000001,9.225
1,P/VPA,0.275,0.9475,0.8425,0.915,0.5975,0.56,1.3025,1.81,1.6325,2.1374999999999997
2,P/FCO,0.7775,4.7775,12.299999999999999,9.67,2.6325000000000003,1.835,4.525,8.66,10.3225,20.1325
3,DY,0.008725,0.028749999999999998,0.03235,0.022199999999999998,0.05095,0.061475,0.048525,0.024925,0.027475,0.07352500000000001
4,PSRO ín,0.2575,0.885,0.855,1.205,0.825,0.73,0.99,1.2349999999999999,1.0775,0.94
5,EV/EBIT,2.3725,8.2375,7.095,16.48,7.442500000000001,5.0725,7.055000000000001,8.08,9.7525,7.5875
6,ROE,0.036575,0.15092499999999998,0.11955,0.058249999999999996,0.084875,0.12434999999999999,0.14732499999999998,0.16895,0.14227499999999998,0.24355
7,ROIC,0.021349999999999997,0.094525,0.07605,0.035475,0.053974999999999995,0.078925,0.09609999999999999,0.11499999999999999,0.090075,0.14200000000000002
8,LC,0.56,2.57,3.02,2.525,2.9375,2.5500000000000003,2.3275,2.4225,1.7125,1.795
9,DB/PL,0.2625,0.9225,0.9175,0.7599999999999999,0.8025,1.0025,1.0899999999999999,1.1675,1.3225,1.2349999999999999
10,LPA,0.37,1.3975,0.98,0.43499999999999994,0.6,0.83,0.8825000000000001,0.9125,0.6699999999999999,1.0325
11,VPA,2.5225,9.24,8.1775,7.472499999999999,7.09,6.6925,6.02,5.405,4.715,4.24
12,DPA,0.055,0.295,0.1625,0.11000000000000001,0.145,0.18250000000000002,0.22000000000000003,0.1825,0.18500000000000003,0.22249999999999998
