,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.6375,6.625,10.325,10.569999999999999,-9.977500000000001,19.505,25.6175,21.4125,19.667499999999997,32.995000000000005
1,P/VPA,0.2,0.69,1.7025000000000001,0.91,0.575,0.725,0.7375,0.9400000000000001,1.0350000000000001,0.6325000000000001
2,P/FCO,2.3075,8.195,8.965,7.432500000000001,14.749999999999998,5.01,112.0,11.645,22.034999999999997,6.6899999999999995
3,DY,0.020724999999999997,0.032100000000000004,0.05815,0.053425,0.035275,0.017925,0.020125,0.0142,0.025275,0.008025000000000001
4,PSRO ín,0.2825,1.0475,2.0625,1.565,1.3399999999999999,1.5125,1.5399999999999998,2.11,1.875,1.8875
5,EV/EBIT,1.525,6.04,7.640000000000001,7.8374999999999995,-143.51250000000002,11.825,16.26,16.8575,12.2775,11.467500000000001
6,ROE,0.030449999999999998,0.10735,0.164875,0.09487500000000001,0.00435,0.040125,0.03015,0.05095,0.018424999999999997,0.037225
7,ROIC,0.024474999999999997,0.0896,0.12942499999999998,0.084675,0.026925,0.054099999999999995,0.040525000000000005,0.041550000000000004,0.06342500000000001,0.050100000000000006
8,LC,0.3625,1.5474999999999999,1.3925,1.335,1.3424999999999998,1.1800000000000002,1.225,1.3125,1.335,1.1575
9,DB/PL,0.1975,0.6475,0.565,0.5725,0.6975,0.6875,0.5425,0.465,0.415,0.23000000000000004
10,LPA,0.8925,3.23,4.595,2.645,0.11499999999999998,0.96,0.69,1.0825,0.36750000000000005,0.805
11,VPA,7.33,30.0625,27.9125,28.0475,25.715,23.8625,22.8875,21.1875,19.595,14.6875
12,DPA,0.0,0.97,0.8799999999999999,0.2125,-0.052500000000000005,0.2375,0.22749999999999998,0.135,0.3175,0.2175
