,Unnamed: 0,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-1.5125,-2.3,-7.115,-0.0275,-0.0775,-0.08750000000000001,-0.1575,0.8999999999999999
1,P/VPA,0.3275,0.41250000000000003,0.135,0.01,0.01,0.01,0.01,0.035
2,P/FCO,-7.3125,1.0375,-0.48,0.055,-0.015000000000000006,-0.0875,-0.1025,0.6699999999999999
3,DY,0.0,0.0,0.0,0.0,0.04885,0.14529999999999998,0.20952500000000002,0.0
4,PSRO ín,6.1725,-1.6575,0.32,0.01,0.01,0.01,0.0175,0.0475
5,EV/EBIT,-0.6950000000000001,-1.4025,-2.32,0.74,1.69,3.0324999999999998,2.1325,2.7175
6,ROE,-0.227625,-0.20745000000000002,-0.041575,-0.23399999999999999,-0.11297499999999999,-0.112525,0.24545,0.11175000000000002
7,ROIC,-0.26642499999999997,-0.21092500000000003,-0.07005,-0.33394999999999997,-0.16152500000000003,-0.159725,0.18719999999999998,0.0959
8,LC,20.6525,3.435,2.9725,3.6625,2.88,3.2325,3.4225,1.4725000000000001
9,DB/PL,0.0,0.0,0.0,0.0125,0.07250000000000001,0.04,0.052500000000000005,0.105
10,LPA,-3.665,-4.01,-1.31,-7.82,-4.6575,-5.27,14.100000000000001,5.9825
11,VPA,11.989999999999998,15.7225,23.432499999999997,33.4225,41.905,47.0625,55.974999999999994,47.455
12,DPA,0.0,0.0,0.0,0.0,0.0,3.68,4.705,1.73
