,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014
0,P/L,-31.2825,-32.662499999999994,76.85750000000002,40.4125,4.922499999999999,2.7024999999999997,2.2925
1,P/VPA,0.13,3.7125,3.6375,3.5175,1.9425,1.84,1.6075
2,P/FCO,32.29,148.9425,49.525,17.127499999999998,1.185,14.0675,2.9375
3,DY,0.0009,0.000575,0.007824999999999999,0.007949999999999999,0.036324999999999996,0.0334,0.013825
4,PSRO ín,0.38,2.9724999999999997,2.245,2.3125,0.515,2.6025,0.6174999999999999
5,EV/EBIT,11.5275,107.17500000000001,31.0025,29.6625,5.3125,37763.5375,-12831.31
6,ROE,-0.001075,-0.007824999999999999,0.05525000000000001,0.088,-48.569425,0.005699999999999997,0.10385
7,ROIC,0.0007000000000000001,0.013125,0.08009999999999999,0.0641,-22.654225,-0.015074999999999998,0.08215
8,LC,1.7025,4.75,1.785,1.365,2.47,3.8049999999999997,3.6
9,DB/PL,0.0475,0.41,0.19250000000000003,0.2525,0.2275,0.16999999999999998,0.07250000000000001
10,LPA,-0.0375,-0.2,0.38,0.5475,-285.48499999999996,0.03999999999999998,0.5325
11,VPA,8.98,21.932499999999997,6.952500000000001,6.2275,5.86,5.4525,5.147500000000001
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,-70.4925
