,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012
0,P/L,2.0125,9.175,8.442499999999999,11.4725,7.5025,6.945,7.925,9.435,25.9025
1,P/VPA,0.4575,1.9849999999999999,1.6600000000000001,1.75,1.595,1.5250000000000001,1.5425,1.6675000000000002,4.545
2,P/FCO,3.06,10.0625,5.79,4.815,4.38,3.6999999999999997,4.6,6.4125,15.35
3,DY,0.0187,0.0677,0.10350000000000001,0.0948,0.1319,0.125975,0.14329999999999998,0.12459999999999999,0.096225
4,PSRO ín,1.7275,7.68,7.7975,8.8475,6.577500000000001,6.2124999999999995,6.9025,8.185,14.1875
5,EV/EBIT,2.225,9.9375,8.9125,10.83,6.73,6.625,7.5,9.235,9.764999999999999
6,ROE,0.056875,0.21607500000000002,0.19977499999999998,0.154625,0.213125,0.22155,0.19515000000000002,0.1804,0.18197500000000003
7,ROIC,0.034275,0.136625,0.14185,0.12365,0.17429999999999998,0.1711,0.1488,0.12380000000000001,0.109175
8,LC,0.775,3.5500000000000003,3.3025,2.235,3.5749999999999997,2.1725,2.1550000000000002,2.9225000000000003,2.295
9,DB/PL,0.2775,0.9425,0.7324999999999999,0.7625000000000001,0.7949999999999999,0.9025,0.9675,1.0375,1.4175
10,LPA,0.875,3.0675,2.62,1.9500000000000002,2.71,2.8125,2.4524999999999997,2.2649999999999997,1.5725
11,VPA,3.85,14.195,13.105,12.5825,12.73,12.685,12.594999999999999,12.535,9.355
12,DPA,0.43,2.005,1.7025000000000001,1.4849999999999999,2.0025,1.6624999999999999,1.355,0.87,0.6525
