,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-39.0075,-0.5275,10.622499999999999,-0.73,0.7725,0.1075,0.005000000000000001,-0.037500000000000006,-0.21
1,P/VPA,8.485,2.1075,0.6775,0.33999999999999997,0.065,0.0625,0.1125,0.1525,0.105
2,P/FCO,-1519.365,0.495,4.94,-3.7675,-0.25999999999999995,0.21750000000000003,-0.125,0.0425,-0.10500000000000001
3,DY,0.0,0.0,0.0,0.01175,0.027075000000000002,0.0,0.010725,0.0137,0.003025
4,PSRO ín,-29.215000000000003,15.3675,-3.6025,0.765,0.72,1.6724999999999999,7.520000000000001,0.855,0.185
5,EV/EBIT,-17.4,-1.2174999999999998,54.605,-66.595,8.045,0.9525000000000001,-3.27,-3.2049999999999996,3.885
6,ROE,-2.5711250000000003,-3.000375,0.09260000000000002,-0.34515,0.218525,0.644125,-3.5031250000000003,-7.871675,-0.16254999999999997
7,ROIC,-0.0412,-0.535,0.023899999999999998,-0.029774999999999996,0.084375,-0.7604750000000001,-0.45695,-0.569025,0.102575
8,LC,0.22499999999999998,0.2375,0.2475,0.2725,0.4,0.36249999999999993,0.5475,0.77,1.305
9,DB/PL,44.72,7.72,2.1750000000000003,2.3975,2.41,3.0225,13.830000000000002,6.282500000000001,1.4449999999999998
10,LPA,-0.165,-1.5274999999999999,0.24000000000000002,-0.7999999999999999,0.7675000000000001,1.6225,-1.2049999999999998,-8.02,-0.7350000000000001
11,VPA,0.0925,0.39249999999999996,1.915,1.7474999999999998,3.2,2.515,1.3975,2.135,4.4350000000000005
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
