,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-2.92,-1.3875,-0.8599999999999999,-1.095,-3.2275,7.49,8.1875,-5.724999999999998,-8.964999999999998,14.14
1,P/VPA,1.0325,0.4325,0.3725,0.45999999999999996,0.3975,0.51,0.99,1.5025,1.5374999999999999,1.33
2,P/FCO,-26.32,3.67,2.9825,3.5675000000000003,17.88,4.1525,-33.815000000000005,12.522499999999999,-21.365000000000002,-13.0175
3,DY,0.0,0.0,0.0,0.014950000000000001,0.073525,0.082525,0.069775,0.0089,0.033975,0.022025
4,PSRO ín,3.2725,2.4675000000000002,4.0075,3.17,2.0324999999999998,1.275,1.6875,2.26,2.0275,2.09
5,EV/EBIT,-3.42,-3.1224999999999996,-2.8575,-2.535,0.010000000000000897,18.197499999999998,16.325,23.255,-0.6799999999999997,17.8175
6,ROE,-0.0885,-0.316925,-0.45289999999999997,-0.43265,-0.03785000000000001,0.081675,0.11755000000000002,0.01935,-0.004450000000000006,0.10885
7,ROIC,-0.058875000000000004,-0.16297499999999998,-0.228625,-0.259625,-0.032475,0.038175,0.04785,0.02155,-0.017575,0.046475
8,LC,0.4325,1.5525,1.5625,1.7325000000000002,1.6075,1.79,1.8525,2.0875,2.3375,1.83
9,DB/PL,0.085,0.5750000000000001,0.7175,0.6075,0.7525,1.19,1.4825,1.345,1.1275,0.63
10,LPA,-0.2875,-0.94,-1.4925,-2.005,-0.16499999999999995,0.5175000000000001,0.7174999999999999,0.11750000000000002,-0.0050000000000000044,0.8474999999999999
11,VPA,0.8125,3.085,3.2575,4.7025,5.9275,6.327499999999999,6.1049999999999995,5.8575,5.654999999999999,4.56
12,DPA,0.0,-0.265,0.0,0.0,0.1,0.1225,0.265,0.0775,0.2,0.1775
