,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.775,5.920000000000001,8.1375,9.93,12.3,-3.4975,-3.5124999999999997,-2.0475,-0.8225,1.2674999999999998
1,P/VPA,0.3,1.0925,1.085,0.81,0.24,0.24,0.2525,0.16999999999999998,0.135,0.1325
2,P/FCO,-18.325,10.2075,6.4125,4.675,5.925000000000001,-2.91,4.155,-2.8324999999999996,4.005,-0.475
3,DY,0.006575,0.022925,0.003975,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,PSRO ín,0.2875,1.15,1.1525,0.8200000000000001,0.36500000000000005,0.545,0.855,0.9725,1.6525,0.5475
5,EV/EBIT,1.4375,4.3549999999999995,5.6525,6.425,4.977499999999999,12.8325,-3.3200000000000003,-3.5,-1.38,2.3575000000000004
6,ROE,0.042199999999999994,0.18530000000000002,0.138425,0.078075,0.02615,-0.030250000000000006,-0.08165,-0.08489999999999999,-0.285125,-0.024949999999999993
7,ROIC,0.024550000000000002,0.115575,0.095925,0.069825,0.026949999999999998,-0.012775000000000002,-0.04820000000000001,-0.05389999999999999,-0.19879999999999998,-0.0143
8,LC,0.7325,3.95,3.9899999999999998,3.6125,3.0549999999999997,2.615,2.445,3.735,3.7475,3.5875
9,DB/PL,0.17,0.5675,0.38,0.1675,0.1975,0.305,0.47,0.545,0.46499999999999997,0.345
10,LPA,1.07,4.387499999999999,3.09,1.625,0.5375000000000001,-0.625,-1.6275,-2.59,-10.6925,-1.0
11,VPA,6.3425,23.6425,22.310000000000002,20.755000000000003,20.855,20.802500000000002,19.89,30.287499999999994,36.835,38.065
12,DPA,0.29,1.0125,0.1775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
