,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-53.7725,11.25,12.025000000000002,24.8975,-4.845000000000001,-39.545,4.457500000000001,24.75,23.8025,12.120000000000001
1,P/VPA,0.655,2.9675000000000002,3.0075,2.92,1.19,1.5224999999999997,3.2675,3.9225000000000003,5.1925,3.935
2,P/FCO,22.4725,11.21,13.055000000000001,16.314999999999998,4.2325,-9.097499999999998,21.002499999999998,27.79,30.1575,15.6175
3,DY,0.017475,0.017625000000000002,0.04555,0.012325000000000001,0.007424999999999999,0.014100000000000001,0.031225,0.0405,0.030699999999999998,0.040175
4,PSRO ín,-24.6175,1.2974999999999999,1.255,1.3250000000000002,0.6575,0.72,1.0350000000000001,1.0925,1.36,1.0275
5,EV/EBIT,-35.025,8.5825,10.17,16.0175,14.620000000000001,6.9225,19.217499999999998,15.58,14.435,7.9825
6,ROE,-0.003075,0.200075,0.25155,0.13622499999999998,0.006900000000000001,0.010025000000000001,0.0038000000000000013,0.15757500000000002,0.21942499999999998,0.345425
7,ROIC,-0.002175,0.1407,0.1826,0.10370000000000001,0.053025,0.1298,0.090425,0.0896,0.17085,0.264275
8,LC,0.475,1.6649999999999998,1.9125,1.6800000000000002,1.6,2.7175000000000002,3.055,1.8475,1.515,1.815
9,DB/PL,0.1,0.3125,0.335,0.5775,0.8999999999999999,1.105,1.305,1.4024999999999999,0.8125,0.5425
10,LPA,-0.0275,1.635,1.775,0.865,0.039999999999999994,0.05749999999999999,0.04500000000000001,0.9725,1.3649999999999998,2.13
11,VPA,2.255,6.077500000000001,7.075,6.175,5.5525,5.595,5.645,6.1525,6.2299999999999995,6.147500000000001
12,DPA,0.0,0.7675000000000001,0.965,0.37750000000000006,0.09,0.02,0.455,0.835,0.5375000000000001,0.9175
