,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,2.7075,24.705000000000002,31.380000000000003,-11.7075,-18.06,-24.9375,29.4375,11.515,10.255,7.335
1,P/VPA,0.16,0.595,0.59,1.085,1.3399999999999999,1.2374999999999998,1.18,1.1624999999999999,1.1,1.04
2,P/FCO,1.5125,111.235,-57.235,-12.0,-51.63,21.14,13.3525,22.682499999999997,10.427499999999998,4.4325
3,DY,0.0,0.0,0.0,0.0,0.003175,0.03655,0.079375,0.10852500000000001,0.103325,0.077925
4,PSRO ín,0.185,0.7475,0.7775,1.675,2.4275,2.005,1.8024999999999998,1.7225,1.7025000000000001,1.2774999999999999
5,EV/EBIT,1.1275,-6.862500000000001,-11.6775,-7.950000000000001,-9.5175,14.867499999999996,41.1475,9.1625,7.770000000000001,3.9075
6,ROE,0.014675,0.047425,-0.062,-0.0699,-0.075075,-0.018175,0.05035,0.10124999999999999,0.10842500000000001,0.14677500000000002
7,ROIC,0.0154,0.0008999999999999998,-0.07735,-0.0853,-0.106525,-0.057875,0.016825,0.065625,0.04775,0.06125
8,LC,0.8625,3.2175,3.3475,3.4250000000000003,5.355,6.23,6.7425,8.2625,6.7175,6.880000000000001
9,DB/PL,0.005,0.027500000000000004,0.037500000000000006,0.0275,0.0075,0.0,0.0,0.0,0.005,0.0325
10,LPA,0.905,2.8724999999999996,-3.5075000000000003,-4.2725,-4.955,-1.2675,3.795,7.6975,8.335,11.3025
11,VPA,15.4275,59.9025,57.19,45.895,66.0925,71.5,74.9525,75.99249999999999,76.86500000000001,77.0325
12,DPA,0.0425,0.0425,0.0,0.0,0.0,2.05,3.915,3.9400000000000004,3.9325,4.2975
