,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,3.5925,119.80499999999999,59.480000000000004,43.9875,32.095,22.689999999999998,24.4125,28.64,32.43,26.892500000000002
1,P/VPA,0.3675,4.3625,3.745,3.9575,3.7475,4.8125,5.565,6.3100000000000005,7.67,7.6850000000000005
2,P/FCO,2.3525,24.427500000000002,13.1225,15.9075,18.725,16.17,20.0475,22.3375,20.76,15.875
3,DY,0.002225,0.005575,0.012475,0.01635,0.03,0.032100000000000004,0.026375,0.020325,0.0164,0.08447500000000001
4,PSRO ín,0.42,4.08,2.2875,2.4575,2.4375,3.4050000000000002,3.7275,4.2575,4.8,3.48
5,EV/EBIT,2.0825,44.0125,33.385,33.8725,25.705,18.51,17.3275,19.8075,23.095,18.7675
6,ROE,0.02565,0.04655,0.069425,0.091575,0.1202,0.215025,0.2282,0.220325,0.23700000000000002,0.29325
7,ROIC,0.021675,0.060050000000000006,0.07117499999999999,0.079375,0.08904999999999999,0.11770000000000001,0.161875,0.18200000000000002,0.18434999999999999,0.24037499999999998
8,LC,0.665,2.5225,1.56,1.6025,1.6749999999999998,2.8325,2.7525000000000004,2.1950000000000003,2.18,1.9324999999999999
9,DB/PL,0.045,0.2825,0.42000000000000004,0.5075000000000001,0.5700000000000001,0.5850000000000001,0.3975,0.255,0.335,0.5425
10,LPA,0.39,0.6425,0.5499999999999999,0.7000000000000001,0.8975,1.525,1.4975,1.32,1.1925,1.1975000000000002
11,VPA,3.815,13.065,7.890000000000001,7.63,7.482500000000001,7.125,6.56,6.0125,5.0525,4.1000000000000005
12,DPA,0.1575,0.4,0.2975,0.48250000000000004,0.7350000000000001,0.9525,0.9875,0.7675,0.3575,0.21000000000000002
