,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-0.3525,-2.1,0.7775,-15.905,14.65,2.2175,47.9375,-1.4375000000000004,36.115,64.03
1,P/VPA,0.0775,0.3125,0.145,0.8775,0.5425,0.4725,0.6799999999999999,0.8925000000000001,1.19,0.9075
2,P/FCO,0.1975,-59.0325,0.895,1.02,1.1075,1.945,5.1925,203.945,7.194999999999999,5.6725
3,DY,0.0,0.027975,0.069325,0.012,0.068575,0.03435,0.03765,0.027825000000000003,0.022525,0.0161
4,PSRO ín,0.3375,-3.4974999999999996,0.5225,1.1675,0.725,1.0225,2.17,3.195,2.83,3.1174999999999997
5,EV/EBIT,-10.3125,-25.59,2.15,-15.792500000000004,5.09,-7.8374999999999995,1.9549999999999992,6.455,11.6925,15.895
6,ROE,-0.054150000000000004,-0.17959999999999998,0.26895,-0.9154,-0.0472,-0.298825,-0.067,0.17309999999999998,0.0888,0.013524999999999999
7,ROIC,0.005024999999999999,-0.024549999999999995,0.212675,0.032975000000000004,0.16575,-0.01672500000000001,0.0354,0.15949999999999998,0.102475,0.04405
8,LC,0.055,0.1525,0.1925,0.36000000000000004,0.22999999999999998,0.39,0.6175,0.6,0.5425,0.545
9,DB/PL,0.665,2.4675000000000002,1.135,3.6825,2.1424999999999996,2.13,0.995,0.6825,0.8374999999999999,0.5225
10,LPA,-0.225,-0.79,1.9975,-3.1674999999999995,-0.2625,-2.4899999999999998,-0.5125,2.05,0.88,0.155
11,VPA,1.0375,4.547499999999999,5.6425,4.904999999999999,7.4275,8.355,11.084999999999999,11.8775,8.4225,5.8625
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.04
