,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,-78.7075,9.502500000000001,13.372499999999999,-22.052500000000002,20.3975,15.07,27.369999999999997,50.1375,55.0675,48.012499999999996
1,P/VPA,0.2825,1.22,1.2574999999999998,1.21,0.875,1.0775000000000001,1.355,2.225,5.1525,3.76
2,P/FCO,1.265,5.5875,6.6,11.377500000000001,4.8149999999999995,7.600000000000001,7.0525,9.9175,23.282500000000002,30.415
3,DY,0.0032500000000000003,0.035250000000000004,0.068575,0.0577,0.045825,0.030924999999999998,0.0129,0.0246,0.034,0.041325
4,PSRO ín,0.235,0.8075,0.9275,1.1275,1.0675,1.315,1.33,1.5675,2.965,4.7025
5,EV/EBIT,2.7375,10.7275,11.495,-10.315,6.994999999999999,12.95,14.067499999999999,20.480000000000004,30.872500000000002,38.872499999999995
6,ROE,-0.00095,0.12815,0.0966,-0.0172,0.009525000000000002,0.07405,0.0498,0.046024999999999996,0.119625,0.10885
7,ROIC,0.0126,0.07145,0.072975,0.004749999999999999,0.016825,0.033375,0.045425,0.0581,0.0603,0.042725
8,LC,0.4875,2.1225,1.9925,2.12,2.4475,2.0949999999999998,2.31,1.9874999999999998,1.6575000000000002,2.38
9,DB/PL,0.2475,0.6375000000000001,0.6625000000000001,0.8524999999999999,0.8975,1.0375,0.97,1.3575000000000002,1.595,1.055
10,LPA,-0.015,2.02,1.4525000000000001,-0.25,0.20250000000000007,1.195,0.6775000000000001,0.4575,0.96,0.81
11,VPA,4.1675,15.805,14.995,14.049999999999999,15.4225,16.04,13.637500000000001,9.9175,8.0775,7.335
12,DPA,0.0,0.0,0.0,0.0,0.5549999999999999,0.505,0.1725,0.19250000000000003,0.4925,0.1475
