,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012
0,P/L,4.1625,26.195,-11.450000000000001,-11.857499999999998,47.4725,-87.30749999999999,1.3649999999999984,28.869999999999997,9.82
1,P/VPA,0.395,1.6325,0.9974999999999999,0.9949999999999999,0.9125,0.6449999999999999,1.0650000000000002,2.1275,2.9074999999999998
2,P/FCO,3.1025,10.645,16.22,1201.9975,9.9175,4.8725,8.332500000000001,11.569999999999999,12.2925
3,DY,0.004699999999999999,0.00375,0.0,0.0,0.031775,0.0754,0.060200000000000004,0.0677,0.0030499999999999998
4,PSRO ín,0.435,1.9125,1.125,1.0325,0.8875000000000001,0.5525,0.8849999999999999,2.395,1.6524999999999999
5,EV/EBIT,3.2875,20.225,17.6375,-5.5975,63.910000000000004,-4.109999999999999,13.86,31.270000000000003,7.7075
6,ROE,0.023250000000000003,0.070975,-0.0183,-0.129175,-0.008925000000000002,0.011275,0.036974999999999994,0.0826,0.4651
7,ROIC,0.016225,0.040075,-0.046175,-0.16215000000000002,-0.05197500000000001,-0.01875,0.026174999999999997,0.05960000000000001,0.37017500000000003
8,LC,0.705,2.9175,2.48,2.0149999999999997,1.8975,1.6775,2.0225000000000004,2.6975,1.9649999999999999
9,DB/PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0425
10,LPA,0.0575,0.1825,-0.0475,-0.3375,-0.012499999999999997,0.035,0.11750000000000001,0.2725,1.065
11,VPA,0.605,2.6325,2.5524999999999998,2.6025,2.9425,3.0375,3.1475,3.2325,2.7825
12,DPA,0.02,0.02,0.0,0.0,0.11,0.13999999999999999,0.11250000000000002,0.1575,0.7849999999999999
