,Unnamed: 0,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,6.782500000000001,6.359999999999999,2.7300000000000004,4.4225,5.7375,0.365,0.9425,-0.7924999999999999,1.9949999999999999
1,P/VPA,1.4875,2.3125,0.8175,0.5625,0.45999999999999996,0.052500000000000005,0.052500000000000005,0.0675,0.08
2,P/FCO,3.1100000000000003,4.165,2.1725,1.705,1.435,0.16249999999999998,0.265,0.27749999999999997,0.2625
3,DY,0.04085,0.10660000000000001,0.20497500000000002,0.0467,0.042874999999999996,0.033975,0.013675000000000001,0.0028,0.0
4,PSRO ín,0.7650000000000001,1.1224999999999998,0.515,0.9575,1.0825,0.9775,1.465,0.6775,0.8175
5,EV/EBIT,4.2325,4.3,2.065,3.52,5.91,2.6275,5.13,5.195,1.3425
6,ROE,0.1731,0.363075,0.306025,0.1409,0.082975,0.29940000000000005,0.25105,0.027624999999999997,0.09205
7,ROIC,0.14479999999999998,0.25827500000000003,0.25625,0.1358,0.0858,0.19674999999999998,0.13155,0.018825,0.03455
8,LC,1.1500000000000001,1.4974999999999998,1.0675,1.0925,1.3125,1.1825,1.0575,2.15,2.8625
9,DB/PL,0.43250000000000005,0.9325,0.5975,0.5974999999999999,0.84,0.9049999999999999,1.0625,0.9175,1.285
10,LPA,2.9899999999999998,5.7175,4.285,1.7574999999999998,0.8025,2.8025,2.29,0.14,0.43000000000000005
11,VPA,12.877500000000001,15.760000000000002,14.240000000000002,11.805,9.6525,9.344999999999999,5.635,4.7725,4.645
12,DPA,1.26,1.065,0.45499999999999996,0.2675,0.20500000000000002,0.19,0.0375,0.01,0.0
