,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.035,10.8975,19.0675,24.1825,20.565,22.435,25.165,23.807499999999997,20.0825,10.035
1,P/VPA,0.1375,0.7925000000000001,1.0125,1.2850000000000001,1.82,3.6325000000000003,4.3475,4.045,4.435,2.73
2,P/FCO,0.705,4.535,5.63,11.6325,8.775,12.690000000000001,13.382499999999999,22.5,15.435,8.345
3,DY,0.0179,0.047075000000000006,0.035475,0.040374999999999994,0.035525,0.0239,0.03125,0.041525,0.045125,0.0314
4,PSRO ín,0.1775,0.8624999999999999,1.0225,1.1424999999999998,1.31,2.3274999999999997,2.29,2.4074999999999998,2.625,1.345
5,EV/EBIT,2.8625,10.735,11.375,19.0875,16.494999999999997,17.5375,17.4875,17.8425,14.2275,7.234999999999999
6,ROE,0.008475,0.073225,0.05777499999999999,0.0644,0.08935,0.15965,0.1733,0.16957499999999998,0.22367499999999998,0.283175
7,ROIC,0.012025,0.0594,0.048225,0.046325,0.07105,0.091575,0.12060000000000001,0.10364999999999999,0.15555000000000002,0.24985
8,LC,0.4175,1.945,2.0425,2.0025,1.6775,2.315,2.2625,2.2800000000000002,1.8925,1.9649999999999999
9,DB/PL,0.2225,0.8675,0.8374999999999999,0.8150000000000001,0.7475,0.835,0.795,0.865,0.475,0.36
10,LPA,0.165,1.2725,0.9575,0.985,1.3875,2.015,1.535,1.4049999999999998,1.78,2.1225
11,VPA,4.86,17.3875,16.445,15.274999999999999,15.4675,13.395,8.85,8.280000000000001,7.955,7.495
12,DPA,0.19,0.865,0.51,0.69,0.9375,0.9849999999999999,0.9724999999999999,0.725,0.5125,0.54
