,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,1.5325,10.3875,20.28,22.632499999999997,16.145,11.0475,7.887499999999999,8.055,9.3975,8.65
1,P/VPA,0.7175,3.5075000000000003,2.975,2.6725,1.7,2.04,2.58,2.3125,2.2375,2.6975
2,P/FCO,3.75,9.74,8.542499999999999,7.282500000000001,-92.96749999999999,22.285000000000004,9.8025,6.055,8.8225,3.81
3,DY,0.019450000000000002,0.035625000000000004,0.06640000000000001,0.050575,0.0358,0.10827500000000001,0.157725,0.06305,0.054575,0.10675
4,PSRO ín,0.2925,1.565,0.7525,0.91,0.455,0.55,0.635,0.655,0.595,0.49250000000000005
5,EV/EBIT,3.5,15.665,16.695,30.657500000000002,11.067499999999999,7.3275,5.2025,5.21,7.2299999999999995,7.5975
6,ROE,0.11657500000000001,0.393475,0.169775,0.123225,0.108025,0.19135,0.327575,0.288975,0.28115,0.334075
7,ROIC,0.023225,0.0789,0.12275,0.05055,0.07642499999999999,0.16845,0.32605,0.3016,0.291325,0.33587500000000003
8,LC,0.3575,1.24,1.2575,1.2274999999999998,1.1949999999999998,1.24,1.3074999999999999,1.37,1.3125,1.19
9,DB/PL,0.0475,0.14750000000000002,0.08499999999999999,0.10500000000000001,0.0775,0.095,0.08000000000000002,0.0475,0.04,0.052500000000000005
10,LPA,0.255,0.74,0.26749999999999996,0.20500000000000002,0.18,0.3175,0.505,0.47750000000000004,0.4,0.395
11,VPA,0.545,1.825,1.5525,1.6975,1.6574999999999998,1.6625,1.5474999999999999,1.655,1.4049999999999998,1.17
12,DPA,0.0325,0.055,0.0075,0.05,0.05,0.1025,0.135,0.11000000000000001,0.07,0.18
