,Unnamed: 0,2020,2019,2018,2017,2016,2015
0,P/L,2.145,8.6375,7.96,14.7975,16.557499999999997,11.1
1,P/VPA,1.825,8.14,6.795000000000001,15.590000000000002,16.4675,12.3875
2,P/FCO,1.5475,7.172499999999999,6.9575000000000005,13.275,14.2,9.675
3,DY,0.02835,0.034725,0.074675,0.053575000000000005,0.047875,0.006875
4,PSRO ín,0.65,2.815,2.2675,4.91,5.557499999999999,2.9299999999999997
5,EV/EBIT,1.1725,4.9174999999999995,4.8125,9.672500000000001,10.7375,6.5649999999999995
6,ROE,0.211775,0.9574,0.8580000000000001,1.0502749999999998,1.012975,1.07995
7,ROIC,0.2323,1.0769250000000001,0.945275,1.0,0.9034,0.9729500000000001
8,LC,0.175,0.6625000000000001,0.59,1.0599999999999998,2.605,3.2424999999999997
9,DB/PL,0.0,0.0,0.0,0.0025,0.0075,0.0025
10,LPA,0.33,1.3025,1.0050000000000001,0.9875,0.8150000000000001,0.74
11,VPA,0.3875,1.38,1.1875000000000002,0.9475,0.8174999999999999,0.6874999999999999
12,DPA,0.0,-0.04,0.06000000000000002,0.7675,0.68,0.43
