,Unnamed: 0,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
0,P/L,4.88,17.677500000000002,13.4975,17.03,14.0175,10.9725,22.3375,46.122499999999995,97.86,62.2175
1,P/VPA,0.8525,3.6875000000000004,2.685,2.86,1.855,1.9849999999999999,4.055,5.4025,13.694999999999999,10.445
2,P/FCO,2.7325,11.577499999999999,8.1975,12.4375,8.667499999999999,14.774999999999999,30.412499999999998,77.62,-523.0625,1368.7975
3,DY,0.0,0.03912500000000001,0.026075,0.071875,0.045025,0.019649999999999997,0.00875,0.01245,0.010725,0.023625
4,PSRO ín,1.005,3.59,2.2225,2.51,1.8125,2.085,4.0024999999999995,5.115,7.4925,4.6525
5,EV/EBIT,3.5475,15.272499999999999,10.805,14.02,13.005,10.63,22.25,36.885,77.9725,67.36500000000001
6,ROE,0.04375,0.213325,0.200275,0.17217500000000002,0.139075,0.181575,0.179825,0.129625,0.136075,0.17987499999999998
7,ROIC,0.031075,0.16772499999999999,0.199125,0.1617,0.120425,0.144875,0.1411,0.11725,0.11959999999999998,0.14735
8,LC,0.8525,2.2525,1.7575,1.8749999999999998,2.4675000000000002,2.9175,4.1899999999999995,5.46,3.1175,2.7775
9,DB/PL,0.2675,0.6174999999999999,0.2,0.3225,0.32499999999999996,0.35,0.1725,0.1875,0.395,0.155
10,LPA,0.45,2.0324999999999998,1.835,1.4925,1.1725,1.4849999999999999,1.1525,0.6,0.30000000000000004,0.35
11,VPA,2.575,9.565,9.235,8.6175,8.445,8.192499999999999,6.4575000000000005,4.597499999999999,2.17,1.9425000000000001
12,DPA,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1325,0.0975,0.11499999999999999
